Category:,Brief Description:,Extended Description:,,,,Data: ,Data: ,Data: ,In Reference Data Location:,Reference Name:,Reference URL:
Category,Name,Description,CVD,Temp,Pres,H2,CO2,N2,,,
,,,hours,(°C),(bar),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),(mol/(sqm.s.Pa)),,,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=150°C, P=4bar)",,150,4,1.60E-09,2.05E-11,6.20E-12,(figure 4b),Battersby 2010,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on a-y-Al (T=200°C, P=4bar)",,200,4,3.89E-09,6.40E-12,6.20E-12,(figure 4b),Battersby 2010,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=200°C, P=4bar)",,200,4,6.30E-07,1.37E-08,4.20E-09,fresh (table 1),Boffa 2008,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=200°C, P=4bar)",,200,4,3.10E-07,9.39E-09,4.20E-09,HT 150C (table 1),Boffa 2008,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=200°C, P=4bar)",,200,4,3.00E-07,6.38E-09,4.20E-09,HT 200C (table 1),Boffa 2008,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=200°C, P=4bar)",,200,4,3.90E-08,8.48E-10,4.20E-09,fresh (table 2),Boffa 2008,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=200°C, P=4bar)",,200,4,3.70E-08,8.22E-10,4.20E-09,HT 150C (table 2),Boffa 2008,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=200°C, P=4bar)",,200,4,2.70E-08,8.18E-10,4.20E-09,HT 200C (table 2),Boffa 2008,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=80°C),,80,,1.13E-08,1.96E-09,5.96E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=90°C),,90,,1.20E-08,1.86E-09,5.96E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=100°C),,100,,1.24E-08,1.50E-09,5.84E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=110°C),,110,,1.58E-08,1.37E-09,5.74E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=120°C),,120,,1.79E-08,1.15E-09,5.74E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=130°C),,130,,2.09E-08,1.02E-09,5.74E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=140°C),,140,,2.26E-08,9.16E-10,5.84E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=150°C),,150,,2.34E-08,8.50E-10,5.96E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=160°C),,160,,2.88E-08,8.27E-10,6.16E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=180°C),,180,,3.29E-08,8.36E-10,6.16E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O,by dip coating on a-y-Al (T=200°C),,200,,3.70E-08,8.44E-10,5.84E-09,NS1 (figure 4),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=130°C, P=4bar)",,130,4,1.91E-09,4.05E-11,,NS3 (figure 5c),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=140°C, P=4bar)",,140,4,2.14E-09,6.46E-11,,NS3 (figure 5c),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=150°C, P=4bar)",,150,4,2.42E-09,5.61E-11,,NS3 (figure 5c),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=160°C, P=4bar)",,160,4,2.88E-09,3.98E-11,,NS3 (figure 5c),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=180°C, P=4bar)",,180,4,3.48E-09,4.17E-11,,NS3 (figure 5c),Boffa 2009,
sol-gel: Si-Nb-O,sol-gel Si-Nb-O," by dip coating on a-y-Al (T=200°C, P=4bar)",,200,4,3.69E-09,5.29E-11,,NS3 (figure 5c),Boffa 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=200°C, P=2bar)",,200,2,4.27E-07,7.69E-08,7.58E-08,before flue gas (figure 5a),Brands 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=150°C, P=2bar)",,150,2,3.61E-07,7.41E-08,7.60E-08,before flue gas (figure 5a),Brands 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=100°C, P=2bar)",,100,2,3.34E-07,7.63E-08,8.07E-08,before flue gas (figure 5a),Brands 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=50°C, P=2bar)",,50,2,3.29E-07,7.82E-08,8.71E-08,before flue gas (figure 5a),Brands 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=20°C, P=2bar)",,20,2,3.27E-07,7.87E-08,9.21E-08,before flue gas (figure 5a),Brands 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=200°C, P=2bar)",,200,2,2.13E-08,4.08E-09,3.60E-09,after flue gas (figure 5c),Brands 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=150°C, P=2bar)",,150,2,1.78E-08,3.46E-09,5.16E-09,after flue gas (figure 5c),Brands 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=100°C, P=2bar)",,100,2,9.02E-09,2.22E-09,2.67E-09,after flue gas (figure 5c),Brands 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=50°C, P=2bar)",,50,2,1.03E-08,3.14E-09,3.77E-09,after flue gas (figure 5c),Brands 2009,
sol-gel: Si-Co-O,sol-gel Si-Co-O," by dip coating on SS-SS-8YSZ-y-Al (T=20°C, P=2bar)",,20,2,1.09E-08,3.43E-09,3.90E-09,after flue gas (figure 5c),Brands 2009,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=225°C, P=4bar)",,225,4,1.90E-09,,1.19E-10,(table 1),Brunetti 2006,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=252°C, P=4bar)",,252,4,2.20E-09,1.28E-10,1.50E-10,(table 1),Brunetti 2006,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=290°C, P=4bar)",,290,4,4.32E-09,1.89E-10,2.00E-10,(table 1),Brunetti 2006,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=225°C, P=4bar)",,225,4,1.89E-09,5.40E-11,1.19E-10,(table 3),Brunetti 2007,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=252°C, P=4bar)",,252,4,2.20E-09,6.30E-11,1.50E-10,(table 3),Brunetti 2007,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=291°C, P=4bar)",,291,4,4.32E-09,1.89E-10,2.00E-10,(table 3),Brunetti 2007,
sol-gel: On steel,sol-gel On steel," by soak-rolling on SS-Si-y-Al (T=220°C, P=1bar)",,220,1,1.15E-10,3.86E-12,,(table 5),Brunetti 2007,
